CPU_arr,IO_arr,SYSCALL_arr,ISR_arr,overhead_arr
32,77,18,77,1
31,76,4,76,3
42,94,17,94,1
37,7,2,7,1
18,29,12,29,1
15,25,14,25,1
13,90,11,90,1
32,58,1,58,1
37,26,15,26,2
30,53,12,53,1
37,30,7,30,1
28,80,11,80,1
44,29,17,29,1
12,32,16,32,3
12,39,18,39,1
48,76,27,76,1
23,9,2,9,1
10,13,58,13,1
23,93,14,93,1
49,97,6,97,1
13,7,12,7,1
15,38,45,38,1
34,93,20,93,1
50,100,35,100,1
18,30,5,30,1
8,39,13,39,2
27,87,20,87,1
22,27,3,27,1
34,38,1,38,1
13,28,4,28,1
27,73,29,73,1
7,87,26,87,1
38,95,38,95,3
13,54,24,54,1
16,74,1,74,1
6,30,39,30,1
7,50,18,50,1
14,74,11,74,2
19,70,22,70,1
33,73,2,73,1
25,22,1,22,1
8,21,7,21,1
29,50,26,50,1
10,38,9,38,1
48,51,24,51,3
20,41,27,41,1
37,43,22,43,1
30,38,46,38,1
45,25,10,25,1
26,90,19,90,2
8,16,43,16,1
35,86,10,86,1
18,51,6,51,1
12,68,27,68,1
43,62,4,62,1
13,84,13,84,1
19,84,34,84,1
48,27,13,27,1
45,20,3,20,1
26,20,17,20,1
8,15,23,15,1
10,18,4,18,1
36,12,29,12,1
41,38,22,38,1
35,19,25,19,1
29,6,29,6,1
44,48,8,48,1
10,15,0,15,1
47,52,32,52,1
30,86,43,86,1
49,9,12,9,1
20,37,39,37,1
42,97,3,97,1
39,21,4,21,2
16,72,7,72,1
19,88,7,88,1
26,76,3,76,1
50,41,35,41,1
21,66,24,66,1
41,10,18,10,1
30,97,37,97,3
6,56,6,56,1
16,25,26,25,1
6,73,29,73,1
29,30,37,30,1
15,20,26,20,3
42,8,31,8,1
9,96,21,96,1
38,99,5,99,1
30,55,71,55,1
9,58,0,58,1
12,88,11,88,1
16,37,50,37,1
25,28,29,28,1
10,82,7,82,1
46,72,26,72,1
33,74,10,74,1
13,67,11,67,3
15,91,15,91,1
6,8,24,8,1
11,77,14,77,1
50,6,18,6,1
17,33,14,33,1
28,33,3,33,1
14,66,26,66,2
36,47,28,47,1
48,60,24,60,1
19,98,31,98,1
32,57,44,57,1
30,96,9,96,3
18,22,37,22,1
8,49,3,49,1
6,95,0,95,1
6,95,27,95,1
34,99,34,99,1
45,79,16,79,1
24,66,23,66,1
