CPU_arr,IO_arr,SYSCALL_arr,ISR_arr,overhead_arr
9,11,2,11,1
39,90,10,90,1
41,87,22,87,1
26,57,15,57,1
27,73,17,73,3
13,88,21,88,1
46,58,8,58,1
43,82,5,82,1
46,28,57,28,1
36,48,14,48,1
42,74,6,74,1
40,83,17,83,1
42,76,32,76,1
44,15,21,15,1
21,93,29,93,1
7,93,29,93,1
10,19,8,19,1
38,64,33,64,1
34,48,0,48,1
50,30,17,30,1
19,17,20,17,1
29,64,8,64,1
29,63,32,63,1
27,91,36,91,2
12,71,19,71,1
36,83,10,83,1
43,33,35,33,1
39,90,3,90,1
44,21,7,21,3
37,45,10,45,1
19,93,2,93,1
29,24,13,24,1
34,42,83,42,1
26,9,0,9,1
22,33,3,33,1
20,51,6,51,3
38,69,6,69,1
31,62,3,62,1
32,44,5,44,1
49,62,3,62,1
19,71,0,71,2
26,36,9,36,1
47,89,1,89,1
6,35,1,35,1
16,83,7,83,1
36,26,3,26,1
27,38,3,38,1
34,33,17,33,2
39,98,3,98,1
29,29,2,29,1
20,59,14,59,1
6,34,32,34,1
44,28,18,28,3
48,77,39,77,1
15,52,1,52,1
47,65,3,65,1
27,6,7,6,1
44,71,24,71,1
26,84,3,84,1
36,16,41,16,2
22,94,6,94,1
7,51,4,51,1
14,65,9,65,1
39,75,3,75,1
10,97,4,97,2
34,58,10,58,1
26,60,3,60,1
39,48,7,48,1
31,40,25,40,1
23,90,36,90,1
11,96,2,96,1
25,69,53,69,1
25,92,3,92,1
42,16,0,16,1
40,33,15,33,1
37,41,6,41,1
49,27,12,27,1
24,69,14,69,1
29,19,23,19,1
28,90,4,90,1
31,65,36,65,1
15,8,30,8,1
41,81,4,81,1
43,12,41,12,3
27,29,5,29,1
11,47,29,47,1
32,68,44,68,1
44,30,14,30,1
29,16,17,16,2
12,78,19,78,1
12,43,16,43,1
36,25,3,25,1
24,40,68,40,1
47,19,0,19,1
13,10,0,10,1
47,23,6,23,1
30,19,24,19,1
49,33,5,33,1
31,90,34,90,1
38,48,19,48,1
19,60,8,60,3
38,16,32,16,1
13,12,19,12,1
24,17,4,17,1
6,8,22,8,1
38,71,10,71,1
40,83,3,83,1
23,76,19,76,3
26,96,5,96,1
38,60,28,60,1
43,57,50,57,1
42,30,15,30,1
41,18,5,18,1
34,97,49,97,1
28,46,8,46,1
7,9,15,9,1
21,25,31,25,1
49,22,3,22,1
10,10,3,10,1
38,87,5,87,3
40,7,4,7,1
30,68,15,68,1
16,93,18,93,1
50,18,7,18,1
38,71,26,71,1
43,69,38,69,1
17,64,7,64,1
38,94,3,94,1
39,52,34,52,1
38,6,23,6,1
20,45,16,45,1
30,62,30,62,2
10,92,2,92,1
32,50,0,50,1
46,41,12,41,1
29,28,1,28,1
8,86,11,86,1
6,46,40,46,1
18,79,3,79,1
16,48,1,48,1
13,95,4,95,1
35,96,5,96,1
33,14,2,14,1
34,79,19,79,3
46,16,12,16,1
49,17,1,17,1
47,81,19,81,1
42,64,10,64,1
47,66,19,66,3
41,22,25,22,1
28,29,2,29,1
36,52,1,52,1
13,9,3,9,1
38,17,10,17,1
35,26,13,26,1
8,28,18,28,1
30,72,1,72,1
29,29,0,29,1
30,48,13,48,1
30,47,32,47,1
48,84,0,84,3
47,76,37,76,1
45,15,13,15,1
7,44,2,44,1
34,54,14,54,1
6,56,13,56,1
28,25,8,25,1
46,86,53,86,2
36,89,21,89,1
26,45,12,45,1
43,80,24,80,1
7,16,17,16,1
34,26,11,26,3
46,58,55,58,1
23,26,1,26,1
38,29,9,29,1
38,6,25,6,1
23,68,11,68,1
42,35,7,35,1
29,43,29,43,3
17,90,22,90,1
47,72,14,72,1
25,16,42,16,1
28,35,2,35,1
39,41,3,41,1
19,77,19,77,1
20,56,26,56,1
21,35,8,35,1
50,60,20,60,1
46,46,4,46,1
22,41,28,41,1
44,86,34,86,1
37,85,7,85,1
33,84,4,84,1
48,44,34,44,1
21,98,26,98,1
41,85,26,85,1
29,45,41,45,1
13,68,20,68,1
26,52,9,52,1
30,23,28,23,1
47,94,23,94,1
23,44,3,44,1
42,52,23,52,3
34,46,38,46,1
40,100,0,100,1
44,76,47,76,1
34,68,16,68,1
13,95,13,95,3
23,56,28,56,1
36,36,16,36,1
49,100,25,100,1
28,38,46,38,1
24,43,35,43,1
44,88,17,88,1
18,56,46,56,3
9,97,10,97,1
40,84,4,84,1
12,39,30,39,1
6,66,24,66,1
32,18,19,18,3
39,24,22,24,1
48,28,2,28,1
22,65,2,65,1
23,33,30,33,1
13,85,24,85,1
38,42,16,42,1
18,39,58,39,1
15,61,8,61,1
49,60,3,60,1
10,78,12,78,1
21,47,13,47,1
37,90,0,90,3
39,33,41,33,1
7,20,0,20,1
45,48,4,48,1
7,36,8,36,1
38,48,3,48,1
33,79,0,79,1
40,23,13,23,1
16,77,6,77,1
25,57,9,57,1
18,68,82,68,1
34,54,14,54,1
47,13,2,13,2
47,60,73,60,1
12,93,10,93,1
8,35,6,35,1
8,51,49,51,1
34,53,0,53,1
14,7,7,7,1
31,20,9,20,1
47,24,10,24,1
31,91,11,91,1
30,23,21,23,1
41,10,3,10,1
39,92,1,92,3
17,31,11,31,1
13,89,4,89,1
50,17,2,17,1
31,24,18,24,1
17,6,6,6,1
39,66,3,66,1
12,59,11,59,2
36,20,18,20,1
9,62,33,62,1
10,73,48,73,1
32,60,2,60,1
19,98,3,98,3
31,41,8,41,1
33,7,1,7,1
48,80,2,80,1
27,54,10,54,1
38,33,3,33,1
12,83,10,83,1
15,77,15,77,2
37,82,1,82,1
45,42,5,42,1
17,97,8,97,1
20,61,27,61,1
48,71,8,71,1
15,99,22,99,1
32,65,4,65,1
50,9,5,9,1
18,16,11,16,1
42,50,7,50,1
44,50,1,50,1
15,98,22,98,2
46,70,0,70,1
26,13,3,13,1
26,7,9,7,1
10,78,6,78,1
9,14,1,14,1
40,58,12,58,1
11,8,4,8,1
49,61,10,61,1
46,19,19,19,1
24,93,13,93,1
45,94,18,94,1
14,57,24,57,1
14,37,37,37,1
26,91,12,91,1
36,83,32,83,1
28,55,6,55,1
36,82,1,82,2
47,38,24,38,1
10,57,6,57,1
18,39,2,39,1
23,94,8,94,1
38,62,6,62,1
46,45,2,45,1
44,35,77,35,1
38,55,9,55,1
28,12,4,12,1
38,10,47,10,1
15,63,0,63,1
45,91,24,91,3
18,85,35,85,1
29,21,8,21,1
33,89,29,89,1
9,49,61,49,1
19,55,5,55,1
42,78,29,78,1
33,55,60,55,3
31,84,23,84,1
48,9,3,9,1
34,80,59,80,1
12,69,26,69,1
12,17,3,17,3
37,10,65,10,1
25,44,18,44,1
18,100,23,100,1
11,11,28,11,1
45,81,31,81,1
22,99,4,99,1
44,50,62,50,2
47,29,12,29,1
23,36,23,36,1
30,29,60,29,1
37,75,14,75,1
26,16,15,16,3
24,76,48,76,1
13,99,10,99,1
44,64,15,64,1
19,52,32,52,1
42,72,8,72,1
36,52,5,52,1
22,99,29,99,3
15,26,21,26,1
24,51,6,51,1
29,22,31,22,1
34,73,8,73,1
38,25,8,25,1
24,80,18,80,1
20,73,9,73,1
39,85,15,85,1
31,75,65,75,1
30,23,10,23,1
39,98,11,98,1
41,30,35,30,3
16,13,4,13,1
25,80,12,80,1
32,50,47,50,1
6,71,4,71,1
23,20,17,20,2
39,84,62,84,1
24,39,0,39,1
6,100,0,100,1
38,24,26,24,1
42,26,21,26,1
19,66,14,66,1
34,22,28,22,3
9,34,10,34,1
47,47,24,47,1
46,83,48,83,1
18,93,10,93,1
19,80,17,80,3
34,72,64,72,1
35,33,31,33,1
10,63,7,63,1
47,23,28,23,1
31,25,40,25,1
10,39,24,39,1
47,49,36,49,1
26,45,37,45,1
30,20,2,20,1
10,52,59,52,1
46,13,1,13,1
18,36,0,36,3
32,12,7,12,1
20,52,16,52,1
10,41,17,41,1
40,57,34,57,1
36,13,16,13,1
9,9,1,9,1
23,6,39,6,3
49,9,9,9,1
9,16,4,16,1
31,88,34,88,1
50,97,18,97,1
26,96,21,96,3
21,19,35,19,1
46,19,40,19,1
46,62,2,62,1
22,11,44,11,1
49,47,1,47,1
37,58,2,58,1
15,12,8,12,1
41,71,28,71,1
41,11,25,11,1
11,84,28,84,1
11,23,27,23,1
17,21,23,21,1
45,65,28,65,1
32,29,18,29,1
19,71,0,71,1
9,38,77,38,1
29,53,11,53,1
34,17,8,17,1
49,8,37,8,2
31,15,6,15,1
31,52,1,52,1
42,56,15,56,1
24,44,6,44,1
28,19,17,19,2
13,7,25,7,1
44,78,16,78,1
45,77,18,77,1
11,88,30,88,1
45,41,37,41,1
25,53,9,53,1
13,41,43,41,2
47,48,22,48,1
42,7,8,7,1
28,78,30,78,1
23,73,4,73,1
37,76,13,76,1
24,31,55,31,1
18,44,8,44,1
21,47,26,47,1
42,12,29,12,1
46,58,28,58,1
30,79,5,79,1
24,39,67,39,3
45,38,1,38,1
10,84,11,84,1
21,68,26,68,1
25,93,0,93,1
16,56,1,56,2
50,64,6,64,1
45,8,24,8,1
29,98,11,98,1
37,66,18,66,1
6,52,0,52,1
6,63,1,63,1
29,95,38,95,2
26,99,6,99,1
31,61,3,61,1
31,41,33,41,1
12,76,29,76,1
42,27,10,27,1
40,18,28,18,1
38,13,21,13,1
11,42,28,42,1
44,54,40,54,1
8,18,18,18,1
37,46,20,46,1
40,11,54,11,1
23,51,15,51,1
40,8,9,8,1
25,7,52,7,1
15,32,2,32,1
33,54,2,54,1
46,89,4,89,1
45,18,0,18,1
13,78,2,78,1
28,29,10,29,1
7,85,18,85,1
14,6,14,6,1
28,26,32,26,2
6,87,0,87,1
36,85,8,85,1
31,82,32,82,1
27,39,9,39,1
13,30,3,30,3
22,46,14,46,1
28,25,3,25,1
46,96,3,96,1
48,6,8,6,1
47,70,43,70,1
42,41,3,41,1
19,49,45,49,1
35,95,1,95,1
30,68,4,68,1
50,47,22,47,1
28,12,43,12,1
24,71,4,71,3
18,49,51,49,1
22,69,5,69,1
27,84,10,84,1
44,90,13,90,1
49,87,2,87,1
31,88,4,88,1
45,68,37,68,3
25,23,15,23,1
39,71,2,71,1
20,74,59,74,1
35,34,1,34,1
50,17,0,17,2
7,47,5,47,1
24,89,6,89,1
16,94,0,94,1
28,60,8,60,1
47,19,16,19,1
50,42,0,42,1
25,84,62,84,2
29,6,16,6,1
6,24,0,24,1
26,58,24,58,1
45,21,42,21,1
17,58,21,58,1
40,60,34,60,1
29,12,28,12,1
30,6,2,6,1
40,81,30,81,1
6,74,6,74,1
12,15,2,15,1
50,91,23,91,3
34,12,23,12,1
26,34,14,34,1
14,70,20,70,1
31,35,10,35,1
35,9,7,9,1
37,55,23,55,1
8,60,21,60,1
31,56,14,56,1
34,49,22,49,1
15,88,4,88,1
6,82,14,82,1
13,12,20,12,1
14,100,2,100,1
33,42,2,42,1
21,24,5,24,1
43,14,14,14,1
27,56,2,56,2
27,14,29,14,1
22,26,3,26,1
6,56,16,56,1
45,95,32,95,1
22,33,2,33,1
35,66,26,66,1
22,36,58,36,3
26,9,0,9,1
34,29,5,29,1
42,55,31,55,1
11,60,1,60,1
42,69,2,69,3
36,34,6,34,1
42,45,18,45,1
14,44,1,44,1
22,26,41,26,1
24,43,9,43,1
48,60,26,60,1
39,75,31,75,1
50,84,4,84,1
6,40,2,40,1
45,37,5,37,1
13,60,11,60,1
46,86,12,86,1
29,87,14,87,1
17,94,13,94,1
17,60,1,60,1
43,75,34,75,1
48,86,25,86,1
24,37,0,37,1
38,72,34,72,3
36,60,23,60,1
21,37,5,37,1
35,13,43,13,1
28,88,0,88,1
8,74,1,74,3
9,33,6,33,1
44,50,7,50,1
34,51,3,51,1
7,73,82,73,1
33,54,27,54,1
17,81,8,81,1
8,62,42,62,2
40,88,16,88,1
16,34,6,34,1
33,29,13,29,1
13,76,3,76,1
34,9,24,9,1
32,54,30,54,1
39,7,0,7,1
16,21,26,21,1
17,15,31,15,1
49,17,10,17,1
11,23,4,23,1
47,12,36,12,2
47,36,4,36,1
15,69,9,69,1
45,84,26,84,1
33,47,14,47,1
29,78,10,78,3
37,9,66,9,1
21,50,0,50,1
42,57,1,57,1
45,6,7,6,1
40,92,9,92,1
43,67,10,67,1
36,48,12,48,3
13,25,30,25,1
35,90,23,90,1
12,51,27,51,1
15,57,0,57,1
12,61,10,61,3
11,66,55,66,1
33,90,5,90,1
22,83,14,83,1
32,19,76,19,1
46,97,1,97,1
46,49,1,49,1
12,15,4,15,2
43,60,13,60,1
27,48,28,48,1
12,14,45,14,1
34,94,2,94,1
17,6,12,6,2
10,43,31,43,1
34,34,24,34,1
8,22,18,22,1
10,46,27,46,1
29,99,13,99,1
37,20,7,20,1
7,74,10,74,1
43,33,5,33,1
48,61,6,61,1
11,23,9,23,1
13,69,10,69,1
40,74,1,74,3
46,13,42,13,1
23,64,35,64,1
25,50,20,50,1
50,8,24,8,1
11,17,12,17,1
38,66,15,66,1
9,96,23,96,3
18,99,7,99,1
44,67,2,67,1
44,91,7,91,1
43,33,38,33,1
8,74,9,74,2
29,46,35,46,1
11,44,36,44,1
20,93,18,93,1
6,86,24,86,1
40,64,2,64,1
13,16,3,16,1
27,66,5,66,3
7,84,25,84,1
9,74,22,74,1
10,98,47,98,1
26,29,19,29,1
40,34,18,34,2
32,64,58,64,1
21,47,13,47,1
49,62,21,62,1
15,42,30,42,1
13,6,1,6,1
42,84,2,84,1
12,12,16,12,1
24,50,32,50,1
16,44,11,44,1
8,20,54,20,1
18,77,16,77,1
44,38,12,38,3
49,73,17,73,1
32,39,2,39,1
18,54,1,54,1
23,81,3,81,1
40,44,13,44,1
23,91,7,91,1
47,72,19,72,1
45,70,22,70,1
21,39,10,39,1
28,43,14,43,1
35,16,11,16,1
20,89,3,89,2
25,52,23,52,1
9,47,8,47,1
25,7,5,7,1
45,21,12,21,1
14,85,2,85,1
47,11,14,11,1
46,31,41,31,1
11,45,22,45,1
9,48,18,48,1
25,98,25,98,1
27,74,4,74,1
16,28,1,28,2
20,52,6,52,1
33,64,0,64,1
8,27,19,27,1
19,69,53,69,1
48,29,13,29,1
22,7,6,7,1
15,18,16,18,3
29,49,1,49,1
42,80,0,80,1
27,32,23,32,1
9,77,5,77,1
41,53,9,53,3
38,57,21,57,1
44,23,5,23,1
16,80,2,80,1
14,12,50,12,1
50,51,11,51,1
40,18,2,18,1
22,51,32,51,2
30,55,0,55,1
31,18,17,18,1
30,10,31,10,1
26,18,1,18,1
17,14,4,14,3
37,7,6,7,1
34,89,9,89,1
25,96,8,96,1
14,97,13,97,1
35,69,11,69,1
32,27,7,27,1
44,93,31,93,1
37,96,8,96,1
26,51,4,51,1
8,27,6,27,1
33,20,24,20,1
10,68,17,68,1
33,62,24,62,1
27,35,10,35,1
38,21,3,21,1
43,62,32,62,1
20,52,21,52,1
29,46,14,46,1
8,29,43,29,2
29,75,20,75,1
24,28,17,28,1
7,63,24,63,1
44,90,0,90,1
10,35,3,35,3
29,46,10,46,1
19,20,0,20,1
11,11,7,11,1
36,96,18,96,1
17,20,27,20,1
34,63,26,63,1
21,44,32,44,2
35,63,23,63,1
19,6,20,6,1
11,8,37,8,1
42,49,6,49,1
43,61,9,61,1
50,69,14,69,1
8,41,25,41,1
10,63,8,63,1
20,93,55,93,1
30,64,0,64,1
17,42,16,42,1
33,73,51,73,3
46,21,0,21,1
17,83,2,83,1
28,34,5,34,1
40,96,40,96,1
29,30,24,30,3
10,31,31,31,1
49,24,0,24,1
49,93,25,93,1
38,56,46,56,1
21,33,10,33,1
19,16,5,16,1
7,52,65,52,3
37,56,3,56,1
50,90,3,90,1
22,94,28,94,1
10,35,15,35,1
31,83,11,83,3
36,36,64,36,1
25,47,5,47,1
28,90,2,90,1
15,60,19,60,1
37,34,31,34,1
50,88,20,88,1
20,95,49,95,1
34,9,0,9,1
22,76,0,76,1
9,38,12,38,1
47,45,2,45,1
9,78,6,78,3
9,44,13,44,1
38,50,4,50,1
10,27,24,27,1
33,51,44,51,1
14,28,31,28,1
41,54,5,54,1
18,93,62,93,2
10,61,25,61,1
6,98,22,98,1
37,72,38,72,1
18,97,38,97,1
26,90,15,90,2
7,89,45,89,1
46,10,2,10,1
25,80,2,80,1
17,93,4,93,1
7,19,1,19,1
48,48,0,48,1
18,100,5,100,1
11,33,8,33,1
8,52,6,52,1
50,34,18,34,1
10,28,3,28,1
32,93,0,93,2
34,13,6,13,1
46,11,4,11,1
42,81,4,81,1
24,58,23,58,1
27,90,27,90,1
11,81,30,81,1
11,96,41,96,1
46,23,25,23,1
36,61,7,61,1
18,42,58,42,1
18,85,0,85,1
37,34,8,34,2
24,54,49,54,1
33,12,26,12,1
50,29,19,29,1
28,52,29,52,1
39,34,0,34,1
35,91,3,91,1
7,6,5,6,2
14,95,0,95,1
28,84,1,84,1
32,88,6,88,1
30,49,7,49,1
22,31,7,31,2
46,100,11,100,1
17,91,7,91,1
41,71,0,71,1
35,96,92,96,1
31,23,22,23,1
24,6,21,6,1
49,9,32,9,2
27,21,20,21,1
47,23,16,23,1
38,74,40,74,1
43,99,7,99,1
34,52,4,52,2
22,49,8,49,1
27,69,7,69,1
15,56,5,56,1
18,70,13,70,1
22,30,2,30,1
7,85,12,85,1
45,97,77,97,2
25,65,1,65,1
43,44,14,44,1
42,88,18,88,1
9,12,13,12,1
25,66,13,66,3
16,95,35,95,1
16,82,23,82,1
16,9,16,9,1
31,47,20,47,1
27,99,9,99,1
32,84,9,84,1
50,98,17,98,2
48,76,27,76,1
12,15,25,15,1
19,49,41,49,1
43,45,40,45,1
26,7,20,7,3
26,44,29,44,1
40,52,15,52,1
48,0,17,18,1
26,0,31,4,1
40,0,2,17,1
14,0,0,2,1
46,0,19,12,2
37,0,3,14,1
14,0,14,11,1
26,0,25,1,1
16,0,3,15,1
28,0,9,12,3
44,0,56,7,1
49,0,14,11,1
30,0,15,17,1
47,0,68,16,1
46,0,5,18,1
14,0,10,27,1
13,0,30,2,3
29,0,22,58,1
18,0,13,14,1
20,0,52,6,1
12,0,0,12,1
41,0,16,45,3
28,0,42,20,1
19,0,3,35,1
25,0,2,5,1
37,0,5,13,1
28,0,7,20,1
29,0,7,3,1
10,0,33,1,2
22,0,11,4,1
27,0,6,29,1
38,0,52,26,1
17,0,0,38,1
42,0,0,24,1
8,0,69,1,1
42,0,22,39,1
17,0,2,18,1
13,0,29,11,1
9,0,10,22,1
22,0,5,2,1
47,0,35,1,3
40,0,33,7,1
18,0,8,26,1
10,0,42,9,1
47,0,2,24,1
12,0,0,27,3
13,0,5,22,1
33,0,2,46,1
40,0,1,10,1
27,0,9,19,1
20,0,14,43,1
48,0,21,10,1
42,0,35,6,2
46,0,27,27,1
40,0,12,4,1
21,0,60,13,1
45,0,34,34,1
36,0,7,13,1
22,0,40,3,1
23,0,2,17,1
39,0,4,23,1
23,0,15,4,1
8,0,17,29,1
35,0,17,22,1
26,0,25,25,2
15,0,3,29,1
34,0,5,8,1
14,0,11,0,1
7,0,7,32,1
26,0,3,43,1
38,0,17,12,1
44,0,10,39,1
36,0,3,3,1
34,0,29,4,1
45,0,24,7,1
18,0,14,7,1
46,0,28,3,2
21,0,3,35,1
45,0,9,24,1
32,0,18,18,1
48,0,2,37,1
21,0,29,6,1
7,0,31,26,1
21,0,1,29,1
15,0,4,37,1
30,0,9,26,1
36,0,0,31,1
39,0,3,21,1
23,0,16,5,3
22,0,4,71,1
16,0,0,0,1
12,0,11,11,1
27,0,13,50,1
15,0,11,29,3
30,0,30,7,1
18,0,8,26,1
25,0,4,10,1
47,0,11,11,1
23,0,18,15,1
16,0,35,24,1
49,0,42,14,1
36,0,1,18,1
32,0,1,14,1
48,0,14,3,1
6,0,30,26,1
8,0,24,28,1
32,0,30,24,1
14,0,1,31,1
17,0,24,44,1
16,0,31,9,1
13,0,30,37,1
14,0,12,3,1
39,0,25,0,3
34,0,9,27,1
40,0,3,34,1
41,0,50,16,1
49,0,16,23,1
17,0,6,2,3
42,0,24,10,1
32,0,27,22,1
6,0,16,15,1
11,0,46,17,1
49,0,10,21,1
8,0,23,8,1
34,0,37,5,1
31,0,12,57,1
49,0,0,14,1
37,0,28,6,1
38,0,11,17,1
7,0,14,32,2
36,0,51,21,1
9,0,23,29,1
49,0,12,29,1
15,0,17,8,1
17,0,16,33,1
29,0,18,0,1
39,0,54,17,3
17,0,12,20,1
45,0,16,8,1
21,0,40,32,1
16,0,6,36,1
50,0,10,19,2
31,0,32,10,1
9,0,13,35,1
24,0,18,3,1
48,0,23,7,1
14,0,1,10,1
41,0,0,2,1
7,0,13,13,3
44,0,3,83,1
50,0,9,0,1
10,0,38,3,1
39,0,9,6,1
13,0,19,6,3
16,0,34,3,1
27,0,20,5,1
28,0,8,3,1
18,0,22,0,1
20,0,10,9,1
43,0,24,1,1
9,0,32,1,2
16,0,18,7,1
39,0,16,3,1
33,0,57,3,1
19,0,3,17,1
27,0,16,3,3
35,0,39,2,1
12,0,39,14,1
32,0,21,32,1
26,0,26,18,1
33,0,6,39,1
41,0,2,1,1
27,0,11,3,3
33,0,5,7,1
22,0,4,24,1
26,0,7,3,1
29,0,41,41,1
18,0,12,6,1
25,0,47,4,1
49,0,8,9,1
23,0,1,3,1
13,0,29,4,1
26,0,12,10,1
28,0,4,3,1
27,0,11,7,3
20,0,1,25,1
28,0,7,36,1
40,0,53,2,1
14,0,9,53,1
9,0,17,3,3
18,0,49,0,1
25,0,15,15,1
43,0,23,6,1
36,0,30,12,1
6,0,23,14,1
33,0,0,23,1
13,0,39,4,3
50,0,4,36,1
29,0,3,30,1
21,0,69,4,1
39,0,18,41,1
16,0,18,5,2
28,0,41,29,1
43,0,0,44,1
20,0,22,14,1
18,0,65,17,1
36,0,15,19,1
15,0,5,16,1
19,0,42,3,2
12,0,2,68,1
25,0,2,0,1
24,0,7,0,1
18,0,9,6,1
47,0,23,24,3
24,0,45,5,1
14,0,5,34,1
11,0,21,19,1
15,0,52,8,1
46,0,7,32,1
18,0,18,19,1
8,0,65,4,3
39,0,33,22,1
16,0,12,10,1
45,0,31,3,1
49,0,16,19,1
10,0,11,5,3
29,0,17,28,1
47,0,12,50,1
9,0,3,15,1
13,0,17,5,1
21,0,3,49,1
19,0,1,8,1
33,0,6,15,2
32,0,11,31,1
20,0,16,3,1
25,0,42,3,1
17,0,26,5,1
35,0,6,4,3
28,0,23,15,1
27,0,31,18,1
40,0,17,7,1
10,0,38,26,1
10,0,0,38,1
28,0,1,7,1
8,0,9,3,2
31,0,8,34,1
28,0,14,23,1
25,0,47,16,1
43,0,2,30,1
25,0,23,2,2
35,0,37,0,1
21,0,30,12,1
29,0,15,1,1
42,0,38,11,1
42,0,2,40,1
13,0,0,3,1
37,0,7,1,1
13,0,24,4,1
27,0,3,5,1
27,0,24,2,1
8,0,45,19,1
29,0,1,12,2
9,0,48,1,1
18,0,2,19,1
13,0,9,10,1
40,0,37,19,1
48,0,12,25,1
19,0,8,2,1
10,0,71,1,3
44,0,5,3,1
43,0,4,10,1
36,0,52,13,1
27,0,0,18,1
36,0,36,1,1
39,0,61,0,1
35,0,3,13,1
34,0,17,32,1
44,0,27,0,1
29,0,2,37,1
16,0,5,13,1
41,0,20,2,2
24,0,2,14,1
18,0,0,13,1
40,0,5,8,1
42,0,6,53,1
31,0,23,21,3
27,0,27,12,1
31,0,22,24,1
42,0,29,17,1
44,0,45,11,1
17,0,6,55,1
35,0,19,1,1
37,0,47,9,2
16,0,34,25,1
16,0,23,11,1
46,0,43,7,1
37,0,7,29,1
27,0,15,22,3
31,0,27,14,1
32,0,14,42,1
41,0,28,2,1
22,0,42,3,1
22,0,0,19,1
7,0,34,26,1
10,0,57,8,3
9,0,19,20,1
19,0,0,4,1
35,0,21,28,1
16,0,21,34,1
8,0,17,7,3
38,0,59,4,1
29,0,0,34,1
20,0,11,26,1
36,0,29,26,1
35,0,7,41,1
38,0,2,20,1
28,0,10,9,3
44,0,3,28,1
8,0,19,23,1
36,0,43,3,1
48,0,11,23,1
28,0,20,38,2
15,0,37,0,1
48,0,1,47,1
31,0,5,16,1
12,0,18,13,1
8,0,1,28,1
44,0,0,16,1
48,0,5,25,3
32,0,17,46,1
21,0,17,35,1
49,0,33,17,1
42,0,17,46,1
26,0,11,10,2
34,0,58,4,1
40,0,2,30,1
14,0,5,24,1
16,0,27,19,1
19,0,15,22,1
23,0,0,2,1
50,0,22,2,3
24,0,2,30,1
39,0,3,24,1
25,0,6,16,1
40,0,0,58,1
16,0,0,8,2
15,0,7,3,1
47,0,27,12,1
45,0,3,13,1
18,0,32,0,1
9,0,3,41,1
34,0,16,0,1
10,0,55,4,2
13,0,4,8,1
38,0,0,3,1
29,0,10,0,1
39,0,6,13,1
9,0,4,6,3
11,0,9,9,1
16,0,11,82,1
17,0,18,14,1
49,0,28,2,1
37,0,25,73,1
12,0,3,10,1
31,0,29,6,2
47,0,3,49,1
18,0,11,0,1
38,0,39,7,1
17,0,8,9,1
40,0,10,10,2
18,0,51,11,1
50,0,0,21,1
31,0,8,3,1
31,0,59,1,1
12,0,8,11,1
31,0,14,4,1
22,0,28,2,1
12,0,3,18,1
38,0,1,6,1
32,0,38,3,1
30,0,10,11,1
48,0,9,18,2
31,0,29,33,1
40,0,10,48,1
17,0,2,2,1
30,0,32,3,1
20,0,4,8,1
43,0,3,1,1
19,0,16,2,1
13,0,0,10,1
26,0,5,3,1
16,0,10,10,1
